Epsilon,Alpha,Final Average,Std Dev Q1,Std Dev Q2,Avg Q1,Avg Q2
0,a = 1,6890.89065885812,1.6392324618744116,2.6688145416789366,-2.2733783229682625,6.64927976279132
0.1,a = 1,6581.332197510882,2.705376550756636,3.1000069465734628,1.9235044340709297,6.535280762219832
0.2,a = 1,6446.930359209484,3.091138606239499,2.6528759718471044,2.9176531880231162,6.737719189219123
0.5,a = 1,6244.92786178747,2.7877986614088335,2.60456564835427,3.975633384264179,6.113401384536773
0,a = 0.9^k,5283.1891077960745,2.2123007679893987,2.495181847457183,4.074898890205599,1.046700792432237
0.1,a = 0.9^k,6821.211138408011,0.5250050667827088,0.4013359931641012,4.872169343716246,7.018120056421473
0.2,a = 0.9^k,6771.529141094297,0.5457071718591502,0.3913464892048404,5.057283368265272,6.979860182665684
0.5,a = 0.9^k,6491.510517635065,0.5278899348045534,0.417946412546868,5.005010774134586,6.999277553632121
0,a = 1/(1+ln(1+x)),5085.237555676498,1.5438300818795614,1.3760445276792437,4.7584108740068265,0.3145208599371509
0.1,a = 1/(1+ln(1+x)),6839.710941959085,0.8464171703468016,0.618298915684755,4.797921128913008,6.994107277693423
0.2,a = 1/(1+ln(1+x)),6746.964797645798,0.8753927543370575,0.6542127758655703,4.698387440130881,7.004100934334581
0.5,a = 1/(1+ln(1+x)),6466.643311869913,0.8149937240043883,0.7482933821066556,5.040605596064908,6.999523088191446
0,a = 1/k,5046.110498191477,0.9816852273139178,1.2004002468902937,4.808544530068854,0.2110782358070054
0.1,a = 1/k,6793.0592585173645,0.3682425680252903,0.07807081628518865,4.883463455336842,6.9919942242485185
0.2,a = 1/k,6755.749440152642,0.2611422397483914,0.08716192924234126,4.967713166152963,6.9948365362975755
0.5,a = 1/k,6480.630506118066,0.19874196902769925,0.09596714854943729,4.973658311640368,6.984452316823382
